relative_path,category,role,use_status,evidence_boundary,bytes,sha256,source_path
../实验课程项目与报告要求(1).html,teacher_requirement,课程项目与报告权威要求,authoritative_requirement,用于约束项目方向、报告十二章结构、参数组数量和单文件HTML交付格式,16370,26dc9ce853fb72e382bea3d346ed437292e4724a9b29ba150540eea22c636162,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/实验课程项目与报告要求(1).html
2026_07_30_s41928-021-00671-0 (1)/1.xlsx,reference_dataset,VisualTCAD导出的IGZO Id-Vg参考数据,reference_only,缺少VDS、几何、材料参数和求解设置，只能作曲线形状与导入流程参考,11189,f08bda1bb5a5292d2dfe31c5b6798d86584471217d4945d9f4c4fd24216e0954,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/1.xlsx
2026_07_30_s41928-021-00671-0 (1)/41928_2021_671_MOESM1_ESM.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,2521004,2980a36c6f1dce348aa9736a979da0d4d6fdf3002bba0de04373c63f433cc8b7,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/41928_2021_671_MOESM1_ESM.pdf
2026_07_30_s41928-021-00671-0 (1)/Adv Elect Materials - 2017 - Nakamura - Material Design of Transparent Oxide Semiconductors for Organic Electronics  Why Do.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,3265893,831d8b32ced738bbe60f1e2314800ec2ae4ba78035d4ab39f92e907f86d6a45f,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Adv Elect Materials - 2017 - Nakamura - Material Design of Transparent Oxide Semiconductors for Organic Electronics  Why Do.pdf
2026_07_30_s41928-021-00671-0 (1)/Advanced Materials - 2012 - Fortunato - Oxide Semiconductor Thin‐Film Transistors  A Review of Recent Advances.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,7675475,86f5f8dfe6408822d60c405aca91c0377555bc143d0dd20c41d44e8b695379b9,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Advanced Materials - 2012 - Fortunato - Oxide Semiconductor Thin‐Film Transistors  A Review of Recent Advances.pdf
2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,703254,96cf85563f3940cb3a70092f31ae5ede3a8b250a9be63d0aa67ad505e55baa96,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s.pdf
2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s的全文翻译.docx,reference,学长项目辅助文件,reference_only,用途需人工确认,927037,25bcf45cf4fd628c277c9c284110728b0cd8547b2f17ec7539a5b71619242e6c,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s的全文翻译.docx
2026_07_30_s41928-021-00671-0 (1)/Physica Status Solidi  a - 2009 - Ogo - Tin monoxide as an s‐orbital‐based p‐type oxide semiconductor  Electronic.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,501053,ce5007c1f4d35f6d12bef5069b5b0bf1aaabed58dc8127ad1fc0413db0d916db,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Physica Status Solidi  a - 2009 - Ogo - Tin monoxide as an s‐orbital‐based p‐type oxide semiconductor  Electronic.pdf
2026_07_30_s41928-021-00671-0 (1)/Physica Status Solidi  a - 2010 - Kamiya - Subgap states  doping and defect formation energies in amorphous oxide.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,515500,2f9adbcb1d5888a76e56f3f43c0ed3963457ba470caad84f36d9a2b94f204cdf,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Physica Status Solidi  a - 2010 - Kamiya - Subgap states  doping and defect formation energies in amorphous oxide.pdf
2026_07_30_s41928-021-00671-0 (1)/Resilience_of_Fluorinated_Indium-Gallium-Zinc_Oxide_Thin-Film_Transistor_Against_Hydrogen-Induced_Degradation.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,1097065,a01a3566f699b2c14271e4c66872110048aa83d0c4958df8ee724c88a802bc9a,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Resilience_of_Fluorinated_Indium-Gallium-Zinc_Oxide_Thin-Film_Transistor_Against_Hydrogen-Induced_Degradation.pdf
