record_type,dataset_id,record_id,symbol_or_field,value,unit,layer_or_model,source_type,source_reference,fitted_or_fixed,allowed_use,valid_range,unit_basis,source_value_status
parameter,IGZO_T01_TEACHING_BASELINE_V1,IGZO_WIDTH,W,60.0,um,device_geometry,course_parameter,config/project.json:baseline_devices.IGZO_TFT.w_um,fixed_teaching,T01 width normalization,single course baseline,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,IGZO_LENGTH,L,10.0,um,device_geometry,course_parameter,config/project.json:baseline_devices.IGZO_TFT.l_um,fixed_teaching,T01 channel length,single course baseline,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,IGZO_ACTIVE_THICKNESS,t_ch,24.0,nm,device_geometry,course_process,config/project.json:baseline_devices.IGZO_TFT.active_thickness_nm,fixed_teaching,T01 channel geometry,single course baseline,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,AL2O3_PHYSICAL_THICKNESS,t_ox_physical,30.0,nm,device_geometry,course_process,config/project.json:baseline_devices.IGZO_TFT.physical_gate_dielectric_nm,fixed_teaching,TCAD physical dielectric geometry,single course baseline,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,AL2O3_SPICE_EFFECTIVE_TOX,TOX_eff,10.0,nm,compact_model,course_spice_effective_parameter,config/project.json:baseline_devices.IGZO_TFT.spice_effective_tox_nm,fixed_teaching,Future compact-model effective oxide parameter,single course baseline,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,AL2O3_RELATIVE_PERMITTIVITY,k_ox,6.8,1,dielectric,course_parameter,config/project.json:baseline_devices.IGZO_TFT.spice_dielectric_k,fixed_teaching,T01 dielectric and future compact-model parameter,single course baseline,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,IGZO_MOBILITY_TEACHING,mu_n,35.5,cm2/(V*s),transport,course_parameter_summary,config/project.json:teaching_baseline.mobility_cm2_vs,fixed_teaching,T01 initial mobility assumption only,not a fitted transport claim,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,IGZO_THRESHOLD_TEACHING,VTH,0.21,V,terminal_target,course_parameter_summary,config/project.json:teaching_baseline.vth_v,fixed_teaching,T01 target-scale sanity check only,not an experimental validation target,source configuration value,PASS
parameter,IGZO_T01_TEACHING_BASELINE_V1,T00_IGZO_RELATIVE_PERMITTIVITY,k_ch,10.0,1,T00_electrostatics,teaching_assumption,config/tcad_baseline.json:materials.channel.relative_permittivity,fixed_teaching,T00 electrostatic baseline only,replace with cited or fitted value before quantitative claims,source configuration value,PASS
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_TRANSFER_VG,vg -> VGS_V,,V,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_transfer.csv and igzo_transfer.cir,not_fitted,Reference sweep shape only,dataset-specific; see boundary table,DC gate source and netlist sweep,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_TRANSFER_VD,vd -> VDS_V,,V,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_transfer.csv and igzo_transfer.cir,not_fitted,Reference sweep shape only,dataset-specific; see boundary table,DC drain source and netlist sweep,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_TRANSFER_ID_RAW,id_raw -> ID_A,,A,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_transfer.csv,not_fitted,Reference sweep shape only,dataset-specific; see boundary table,ngspice voltage-source current,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_TRANSFER_ID_ABS,id_abs -> abs(ID_A),,A,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_transfer.csv,not_fitted,Reference logarithmic plot only,dataset-specific; see boundary table,absolute value of ngspice current,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_OUTPUT_VD,vd -> VDS_V,,V,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_output.csv and igzo_output.cir,not_fitted,Reference sweep shape only,dataset-specific; see boundary table,DC drain source and netlist sweep,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_OUTPUT_VG,vg -> VGS_V,,V,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_output.csv and igzo_output.cir,not_fitted,Reference sweep shape only,dataset-specific; see boundary table,DC gate source and netlist sweep,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_OUTPUT_ID_RAW,id_raw -> ID_A,,A,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_output.csv,not_fitted,Reference sweep shape only,dataset-specific; see boundary table,ngspice voltage-source current,DECLARED
data_field,IGZO_FROZEN_BASELINE_V1,NGSPICE_OUTPUT_ID_ABS,id_abs -> abs(ID_A),,A,source_data_column,declared_source_column,data/raw/baseline/ngspice/data/igzo_output.csv,not_fitted,Reference logarithmic plot only,dataset-specific; see boundary table,absolute value of ngspice current,DECLARED
data_field,SENIOR_IGZO_TRANSFER_REFERENCE_V1,SENIOR_TRANSFER_VG,v_gate_v -> VGS_V,,V,source_data_column,declared_source_column,data/processed/senior_reference/igzo_tcad_transfer_reference.csv,not_fitted,Import and data-quality reference only,dataset-specific; see boundary table,normalized XLSX gate-voltage column,DECLARED
data_field,SENIOR_IGZO_TRANSFER_REFERENCE_V1,SENIOR_TRANSFER_ID,drain_current_a -> ID_A,,A,source_data_column,declared_source_column,data/processed/senior_reference/igzo_tcad_transfer_reference.csv,not_fitted,Import and data-quality reference only,dataset-specific; see boundary table,normalized XLSX drain-current column,DECLARED
data_field,SENIOR_IGZO_TRANSFER_REFERENCE_V1,SENIOR_TRANSFER_ID_ABS,abs_drain_current_a -> abs(ID_A),,A,source_data_column,declared_source_column,data/processed/senior_reference/igzo_tcad_transfer_reference.csv,not_fitted,Import and data-quality reference only,dataset-specific; see boundary table,absolute normalized drain current,DECLARED
data_field,SENIOR_INVERTER_VTC_REFERENCE_V1,SENIOR_VTC_VIN,vin_v -> VIN_V,,V,source_data_column,declared_source_column,data/processed/senior_reference/inverter_vtc_reference.csv,not_fitted,Import and metadata-completeness reference only,dataset-specific; see boundary table,normalized XLSX input-voltage column,DECLARED
